Input Order,Date,City,State/Region,Country,Timezone,Geoname ID,Selected Drik Location,Samvatsara,Ayana,Ritu,Amanta Maasa,Paksha,Tithi,Vaara,Nakshatra,Yoga,Karana,Sooryodaya,Special Events,Special Event Details,Note,Message,Master Event Count,Month Page URL,Day Page URL,Error,Location Key
1,2026-10-05,Darmstadt,Hesse,Germany,Europe/Berlin,2938913,Darmstadt,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,Dashami upto 10:37 PM,Somawara,Pushya upto 07:39 PM,"Siddha upto 03:50 AM, Oct 06",Vanija upto 11:28 AM; Vishti upto 10:37 PM,07:31 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2938913&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=2938913&date=05/10/2026,,geoname:2938913|city:darmstadt
2,2026-10-05,Kuwait,Al Asimah,Kuwait,Asia/Kuwait,285787,Kuwait City,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,Dashami upto 11:37 PM,Somawara,Pushya upto 08:39 PM,"Shiva upto 07:21 AM; Siddha upto 04:50 AM, Oct 06",Vanija upto 12:28 PM; Vishti upto 11:37 PM,05:43 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=285787&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=285787&date=05/10/2026,,geoname:285787|city:kuwait
3,2026-10-05,Coimbatore,Tamil Nadu,India,Asia/Kolkata,1273865,Coimbatore,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",06:11 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1273865&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1273865&date=05/10/2026,,geoname:1273865|city:coimbatore
4,2026-10-05,Windsor,Ontario,Canada,America/New_York,6182962,Windsor,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,Dashami upto 04:37 PM,Somawara,Pushya upto 01:39 PM,Siddha upto 09:50 PM,"Vishti upto 04:37 PM; Bava upto 03:49 AM, Oct 06",07:34 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=6182962&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=6182962&date=05/10/2026,,geoname:6182962|city:windsor
5,2026-10-05,London,London,United Kingdom,Europe/London,2643743,London,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,Dashami upto 09:37 PM,Somawara,Pushya upto 06:39 PM,"Siddha upto 02:50 AM, Oct 06",Vanija upto 10:28 AM; Vishti upto 09:37 PM,07:08 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2643743&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=2643743&date=05/10/2026,,geoname:2643743|city:london
6,2026-10-05,Belgaum,Karnataka,India,Asia/Kolkata,1276533,Belgaum,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",06:22 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1276533&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1276533&date=05/10/2026,,geoname:1276533|city:belgaum
7,2026-10-05,Hubli,Karnataka,India,Asia/Kolkata,1269920,Hubli,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",06:20 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1269920&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1269920&date=05/10/2026,,geoname:1269920|city:hubli
8,2026-10-05,Vancouver,British Columbia,Canada,America/Los_Angeles,6173331,Vancouver,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,Dashami upto 01:37 PM,Somawara,Pushya upto 10:39 AM,Siddha upto 06:50 PM,"Vishti upto 01:37 PM; Bava upto 12:49 AM, Oct 06",07:19 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=6173331&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=6173331&date=05/10/2026,,geoname:6173331|city:vancouver
9,2026-10-05,Belfast,New York,United States,America/New_York,5108728,Belmont,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,Dashami upto 04:37 PM,Somawara,Pushya upto 01:39 PM,Siddha upto 09:50 PM,"Vishti upto 04:37 PM; Bava upto 03:49 AM, Oct 06",07:14 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=5108728&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=5108728&date=05/10/2026,,geoname:5108728|city:belfast
10,2026-10-05,Seoul,Seoul,South Korea,Asia/Seoul,1835848,Seoul,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Navami upto 07:23 AM; Dashami upto 05:37 AM, Oct 06",Somawara,"Pushya upto 02:39 AM, Oct 06",Shiva upto 01:21 PM,"Garaja upto 07:23 AM; Vanija upto 06:28 PM; Vishti upto 05:37 AM, Oct 06",06:31 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1835848&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1835848&date=05/10/2026,,geoname:1835848|city:seoul
11,2026-10-05,Auckland,Auckland,New Zealand,Pacific/Auckland,2193733,Auckland,Parabhava,Dakshinayana,Shishir (Winter),Bhadrapada,Krishna Paksha,Navami upto 11:23 AM,Somawara,"Punarvasu upto 07:43 AM; Pushya upto 06:39 AM, Oct 06",Shiva upto 05:21 PM,Garaja upto 11:23 AM; Vanija upto 10:28 PM,06:52 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2193733&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=2193733&date=05/10/2026,,geoname:2193733|city:auckland
12,2026-10-05,Wellington,Wellington,New Zealand,Pacific/Auckland,2179537,Wellington,Parabhava,Dakshinayana,Shishir (Winter),Bhadrapada,Krishna Paksha,Navami upto 11:23 AM,Somawara,"Punarvasu upto 07:43 AM; Pushya upto 06:39 AM, Oct 06",Shiva upto 05:21 PM,Garaja upto 11:23 AM; Vanija upto 10:28 PM,06:49 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2179537&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=2179537&date=05/10/2026,,geoname:2179537|city:wellington
13,2026-10-05,Christchurch,Canterbury,New Zealand,Pacific/Auckland,2192362,Christchurch,Parabhava,Dakshinayana,Shishir (Winter),Bhadrapada,Krishna Paksha,Navami upto 11:23 AM,Somawara,"Punarvasu upto 07:43 AM; Pushya upto 06:39 AM, Oct 06",Shiva upto 05:21 PM,Garaja upto 11:23 AM; Vanija upto 10:28 PM,06:56 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=2192362&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=2192362&date=05/10/2026,,geoname:2192362|city:christchurch
14,2026-10-05,Agartala,Tripura,India,Asia/Kolkata,1279290,Agartala,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",05:18 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1279290&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1279290&date=05/10/2026,,geoname:1279290|city:agartala
15,2026-10-05,Guwahati,Assam,India,Asia/Kolkata,1271476,Guwahati,Parabhava,Dakshinayana,Varsha (Monsoon),Bhadrapada,Krishna Paksha,"Dashami upto 02:07 AM, Oct 06",Somawara,Pushya upto 11:09 PM,Shiva upto 09:51 AM,"Vanija upto 02:58 PM; Vishti upto 02:07 AM, Oct 06",05:17 AM,,,,,0,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1271476&date=05/10/2026,https://www.drikpanchang.com/panchang/day-panchang.html?geoname-id=1271476&date=05/10/2026,,geoname:1271476|city:guwahati
